Country,Region,Sub-region,Least developed countries (LDC),Africa sub-regions,Africa region, Total , Male , Female 
Afghanistan,SA,,LDC,,,43.0,55.0,30.0
Albania,ECA,EECA,,,,98.0,99.0,98.0
Algeria,MENA,,,Northern Africa,All,81.0,87.0,75.0
Andorra,ECA,WE,,,,,,
Angola,SSA,ESA,LDC,Southern Africa,All,,,
Anguilla,LAC,,,,,,,
Antigua and Barbuda,LAC,,,,,,,
Argentina,LAC,,,,,99.0,99.0,99.0
Armenia,ECA,EECA,,,,,,
Australia,EAP,,,,,,,
Austria,ECA,WE,,,,,,
Azerbaijan,ECA,EECA,,,,,,
Bahamas,LAC,,,,,,,
Bahrain,MENA,,,,,97.0,99.0,95.0
Bangladesh,SA,,LDC,,,74.0,77.0,71.0
Barbados,LAC,,,,,,,
Belarus,ECA,EECA,,,,100.0,100.0,100.0
Belgium,ECA,WE,,,,,,
Belize,LAC,,,,,,,
Benin,SSA,WCA,LDC,Western Africa,All,42.0,54.0,31.0
Bhutan,SA,,LDC,,,,,
Bolivia (Plurinational State of),LAC,,,,,,,
Bosnia and Herzegovina,ECA,EECA,,,,,,
Botswana,SSA,ESA,,Southern Africa,All,,,
Brazil,LAC,,,,,93.0,93.0,93.0
British Virgin Islands,LAC,,,,,,,
Brunei Darussalam,EAP,,,,,97.0,98.0,96.0
Bulgaria,ECA,EECA,,,,,,
Burkina Faso,SSA,WCA,LDC,Western Africa,All,41.0,50.0,33.0
Burundi,SSA,ESA,LDC,Central Africa,All,,,
Cabo Verde,SSA,WCA,,Western Africa,All,,,
Cambodia,EAP,,LDC,,,,,
Cameroon,SSA,WCA,,Central Africa,All,77.0,83.0,72.0
Canada,,,,,,,,
Central African Republic,SSA,WCA,LDC,Central Africa,All,37.0,50.0,26.0
Chad,SSA,WCA,LDC,Central Africa,All,,,
Chile,LAC,,,,,,,
China,EAP,,,,,97.0,98.0,95.0
Colombia,LAC,,,,,95.0,95.0,95.0
Comoros,SSA,ESA,LDC,Eastern Africa,All,59.0,65.0,53.0
Congo,,,,Central Africa,All,80.0,86.0,75.0
Cook Islands,EAP,,,,,,,
Costa Rica,LAC,,,,,98.0,98.0,98.0
Côte d'Ivoire,SSA,WCA,,Western Africa,All,47.0,54.0,40.0
Croatia,ECA,EECA,,,,,,
Cuba,LAC,,,,,,,
Cyprus,ECA,WE,,,,,,
Czechia,ECA,WE,,,,,,
Democratic People's Republic of Korea,EAP,,,,,,,
Democratic Republic of the Congo,SSA,WCA,LDC,Central Africa,All,,,
Denmark,ECA,WE,,,,,,
Djibouti,SSA,ESA,LDC,Eastern Africa,All,,,
Dominica,LAC,,,,,,,
Dominican Republic,LAC,,,,,,,
Ecuador,LAC,,,,,,,
Egypt,MENA,,,Northern Africa,All,,,
El Salvador,LAC,,,,,,,
Equatorial Guinea,SSA,WCA,,Central Africa,All,,,
Eritrea,SSA,ESA,LDC,Eastern Africa,All,77.0,84.0,69.0
Estonia,ECA,WE,,,,,,
Ethiopia,SSA,ESA,LDC,Eastern Africa,All,,,
Fiji,EAP,,,,,,,
Finland,ECA,WE,,,,,,
France,ECA,WE,,,,,,
Gabon,SSA,WCA,,Central Africa,All,85.0,86.0,83.0
Gambia,SSA,WCA,LDC,Western Africa,All,,,
Georgia,ECA,EECA,,,,,,
Germany,ECA,WE,,,,,,
Ghana,SSA,WCA,,Western Africa,All,79.0,84.0,74.0
Greece,ECA,WE,,,,,,
Grenada,LAC,,,,,,,
Guatemala,LAC,,,,,,,
Guinea,,,,Western Africa,All,,,
Guinea-Bissau,SSA,WCA,LDC,Western Africa,All,,,
Guyana,LAC,,,,,,,
Haiti,,,,,,,,
Holy See,ECA,WE,,,,,,
Honduras,LAC,,,,,87.0,87.0,87.0
Hungary,ECA,WE,,,,,,
Iceland,ECA,WE,,,,,,
India,SA,,,,,74.0,82.0,66.0
Indonesia,,,,,,96.0,97.0,94.0
Iran (Islamic Republic of),MENA,,,,,,,
Iraq,,,,,,50.0,56.0,44.0
Ireland,ECA,WE,,,,,,
Israel,MENA,,,,,,,
Italy,ECA,WE,,,,99.0,99.0,99.0
Jamaica,LAC,,,,,,,
Japan,EAP,,,,,,,
Jordan,,,,,,98.0,99.0,98.0
Kazakhstan,ECA,EECA,,,,,,
Kenya,SSA,ESA,,Eastern Africa,All,82.0,85.0,78.0
Kiribati,EAP,,LDC,,,,,
Kuwait,MENA,,,,,96.0,97.0,95.0
Kyrgyzstan,ECA,EECA,,,,100.0,100.0,99.0
Lao People's Democratic Republic,,,,,,,,
Latvia,ECA,WE,,,,,,
Lebanon,MENA,,,,,95.0,97.0,93.0
Lesotho,SSA,ESA,LDC,Southern Africa,All,,,
Liberia,SSA,WCA,LDC,Western Africa,All,,,
Libya,MENA,,,Northern Africa,All,,,
Liechtenstein,ECA,WE,,,,,,
Lithuania,ECA,WE,,,,,,
Luxembourg,ECA,WE,,,,,,
Madagascar,SSA,ESA,LDC,Eastern Africa,All,75.0,77.0,72.0
Malawi,SSA,ESA,LDC,Southern Africa,All,,,
Malaysia,EAP,,,,,,,
Maldives,SA,,,,,,,
Mali,SSA,WCA,LDC,Western Africa,All,35.0,46.0,26.0
Malta,ECA,WE,,,,95.0,93.0,96.0
Marshall Islands,EAP,,,,,,,
Mauritania,,,,Northern Africa,All,,,
Mauritius,SSA,ESA,,Eastern Africa,All,91.0,93.0,89.0
Mexico,LAC,,,,,95.0,96.0,95.0
Micronesia (Federated States of),EAP,,,,,,,
Monaco,ECA,WE,,,,,,
Mongolia,EAP,,,,,98.0,98.0,99.0
Montenegro,ECA,EECA,,,,99.0,99.0,98.0
Montserrat,LAC,,,,,,,
Morocco,MENA,,,Northern Africa,All,74.0,83.0,65.0
Mozambique,SSA,ESA,LDC,Southern Africa,All,,,
Myanmar,EAP,,LDC,,,,,
Namibia,SSA,ESA,,Southern Africa,All,92.0,92.0,91.0
Nauru,EAP,,,,,,,
Nepal,SA,,LDC,,,68.0,79.0,60.0
Netherlands,ECA,WE,,,,,,
New Zealand,EAP,,,,,,,
Nicaragua,LAC,,,,,,,
Niger,SSA,WCA,LDC,Western Africa,All,,,
Nigeria,SSA,WCA,,Western Africa,All,62.0,71.0,53.0
Niue,EAP,,,,,,,
Norway,ECA,WE,,,,,,
Oman,MENA,,,,,96.0,97.0,93.0
Pakistan,,,,,,,,
Palau,EAP,,,,,,,
Panama,LAC,,,,,95.0,96.0,95.0
Papua New Guinea,EAP,,,,,,,
Paraguay,LAC,,,,,94.0,95.0,94.0
Peru,LAC,,,,,94.0,97.0,92.0
Philippines,,,,,,,,
Poland,ECA,WE,,,,,,
Portugal,ECA,WE,,,,96.0,97.0,95.0
Qatar,MENA,,,,,,,
Republic of Korea,EAP,,,,,,,
Republic of Moldova,ECA,EECA,,,,,,
Romania,ECA,EECA,,,,99.0,99.0,99.0
Russian Federation,ECA,EECA,,,,100.0,100.0,100.0
Rwanda,SSA,ESA,LDC,Eastern Africa,All,73.0,78.0,69.0
Saint Kitts and Nevis,LAC,,,,,,,
Saint Lucia,LAC,,,,,,,
Saint Vincent and the Grenadines,LAC,,,,,,,
Samoa,EAP,,,,,99.0,99.0,99.0
San Marino,ECA,WE,,,,100.0,100.0,100.0
Sao Tome and Principe,SSA,WCA,LDC,Central Africa,All,93.0,96.0,90.0
Saudi Arabia,MENA,,,,,,,
Senegal,,,,Western Africa,All,,,
Serbia,ECA,EECA,,,,98.0,99.0,98.0
Seychelles,SSA,ESA,,Eastern Africa,All,96.0,95.0,96.0
Sierra Leone,,,,Western Africa,All,43.0,52.0,35.0
Singapore,EAP,,,,,97.0,99.0,96.0
Slovakia,ECA,WE,,,,,,
Slovenia,ECA,WE,,,,,,
Solomon Islands,EAP,,LDC,,,,,
Somalia,SSA,ESA,LDC,Eastern Africa,All,,,
South Africa,,,,Southern Africa,All,,,
South Sudan,SSA,ESA,LDC,Eastern Africa,All,35.0,40.0,29.0
Spain,ECA,WE,,,,98.0,99.0,98.0
Sri Lanka,SA,,,,,,,
State of Palestine,MENA,,,,,,,
Sudan,SSA,ESA,LDC,Eastern Africa,All,61.0,65.0,56.0
Suriname,LAC,,,,,94.0,96.0,93.0
Eswatini,SSA,ESA,,Southern Africa,All,88.0,88.0,89.0
Sweden,ECA,WE,,,,,,
Switzerland,ECA,WE,,,,,,
Syrian Arab Republic,MENA,,,,,,,
Tajikistan,,,,,,,,
Thailand,,,,,,,,
North Macedonia,ECA,EECA,,,,,,
Timor-Leste,,,,,,68.0,72.0,64.0
Togo,SSA,WCA,LDC,Western Africa,All,,,
Tokelau,EAP,,,,,,,
Tonga,EAP,,,,,99.0,99.0,99.0
Trinidad and Tobago,LAC,,,,,,,
Tunisia,,,,Northern Africa,All,,,
Turkey,ECA,EECA,,,,,,
Turkmenistan,ECA,EECA,,,,,,
Turks and Caicos Islands,LAC,,,,,,,
Tuvalu,EAP,,LDC,,,,,
Uganda,SSA,ESA,LDC,Eastern Africa,All,77.0,83.0,71.0
Ukraine,ECA,EECA,,,,,,
United Arab Emirates,MENA,,,,,,,
United Kingdom,ECA,WE,,,,,,
United Republic of Tanzania,SSA,ESA,LDC,Eastern Africa,All,,,
United States,,,,,,,,
Uruguay,LAC,,,,,99.0,98.0,99.0
Uzbekistan,ECA,EECA,,,,,,
Vanuatu,EAP,,LDC,,,88.0,88.0,87.0
Venezuela (Bolivarian Republic of),LAC,,,,,,,
Viet Nam,EAP,,,,,95.0,96.0,94.0
Yemen,MENA,,LDC,,,,,
Zambia,SSA,ESA,LDC,Southern Africa,All,87.0,91.0,83.0
Zimbabwe,SSA,ESA,,Southern Africa,All,,,
