gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,15
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,20
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,10
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,30
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,40
F,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,42
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,35
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,50
F,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,12
F,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,70
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,50
M,KW,KuwaIT,MiddleSchool,G-07,B,Math,F,Father,19
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,5
M,lebanon,lebanon,MiddleSchool,G-08,A,Math,F,Father,20
F,KW,KuwaIT,MiddleSchool,G-08,A,Math,F,Mum,62
F,KW,KuwaIT,MiddleSchool,G-06,A,IT,F,Father,30
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,36
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,55
F,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Mum,69
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Mum,70
F,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,60
F,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,10
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,15
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,2
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,0
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,8
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,19
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,F,Father,25
M,KW,KuwaIT,MiddleSchool,G-08,A,Science,F,Father,75
F,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,F,Father,30
F,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,F,Father,35
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,4
F,KW,KuwaIT,lowerlevel,G-07,A,IT,F,Father,2
M,KW,KuwaIT,lowerlevel,G-05,A,English,F,Father,8
M,KW,KuwaIT,MiddleSchool,G-07,B,Science,F,Father,12
M,KW,KuwaIT,MiddleSchool,G-07,A,English,F,Father,10
M,KW,KuwaIT,MiddleSchool,G-07,B,Science,F,Mum,8
F,Egypt,Egypt,MiddleSchool,G-07,A,IT,F,Father,45
M,KW,KuwaIT,MiddleSchool,G-06,A,IT,F,Father,0
F,SaudiArabia,SaudiArabia,MiddleSchool,G-07,B,Science,F,Father,50
F,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,14
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,19
M,KW,KuwaIT,HighSchool,G-09,A,IT,F,Father,10
F,KW,KuwaIT,HighSchool,G-09,A,IT,F,Father,30
F,KW,KuwaIT,HighSchool,G-09,A,IT,F,Father,33
M,KW,KuwaIT,MiddleSchool,G-07,A,Quran,F,Father,20
M,KW,KuwaIT,lowerlevel,G-05,A,English,F,Father,7
F,KW,KuwaIT,HighSchool,G-12,A,English,F,Mum,70
F,KW,KuwaIT,HighSchool,G-12,A,English,F,Mum,13
F,KW,KuwaIT,HighSchool,G-12,A,English,F,Father,29
F,KW,KuwaIT,HighSchool,G-12,A,English,F,Father,20
M,KW,KuwaIT,HighSchool,G-12,A,English,F,Father,39
F,KW,KuwaIT,HighSchool,G-12,A,English,F,Father,55
F,KW,KuwaIT,HighSchool,G-11,A,Science,F,Mum,49
M,KW,KuwaIT,HighSchool,G-12,A,English,F,Mum,12
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,16
M,USA,USA,MiddleSchool,G-08,B,Math,F,Father,19
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,5
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,28
F,USA,USA,MiddleSchool,G-07,A,Math,F,Father,27
