gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,gender_num
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,15,0
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,20,0
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,10,0
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,30,0
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,40,0
F,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,42,1
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,35,0
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,50,0
F,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,12,1
F,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,70,1
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,50,0
M,KW,KuwaIT,MiddleSchool,G-07,B,Math,F,Father,19,0
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,5,0
M,lebanon,lebanon,MiddleSchool,G-08,A,Math,F,Father,20,0
F,KW,KuwaIT,MiddleSchool,G-08,A,Math,F,Mum,62,1
F,KW,KuwaIT,MiddleSchool,G-06,A,IT,F,Father,30,1
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,36,0
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,55,0
F,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Mum,69,1
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Mum,70,0
F,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,60,1
F,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,10,1
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,15,0
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,2,0
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,0,0
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,8,0
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,19,0
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,F,Father,25,0
M,KW,KuwaIT,MiddleSchool,G-08,A,Science,F,Father,75,0
F,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,F,Father,30,1
F,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,F,Father,35,1
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,4,0
F,KW,KuwaIT,lowerlevel,G-07,A,IT,F,Father,2,1
M,KW,KuwaIT,lowerlevel,G-05,A,English,F,Father,8,0
M,KW,KuwaIT,MiddleSchool,G-07,B,Science,F,Father,12,0
M,KW,KuwaIT,MiddleSchool,G-07,A,English,F,Father,10,0
M,KW,KuwaIT,MiddleSchool,G-07,B,Science,F,Mum,8,0
F,Egypt,Egypt,MiddleSchool,G-07,A,IT,F,Father,45,1
M,KW,KuwaIT,MiddleSchool,G-06,A,IT,F,Father,0,0
F,SaudiArabia,SaudiArabia,MiddleSchool,G-07,B,Science,F,Father,50,1
F,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,14,1
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,19,0
M,KW,KuwaIT,HighSchool,G-09,A,IT,F,Father,10,0
F,KW,KuwaIT,HighSchool,G-09,A,IT,F,Father,30,1
F,KW,KuwaIT,HighSchool,G-09,A,IT,F,Father,33,1
M,KW,KuwaIT,MiddleSchool,G-07,A,Quran,F,Father,20,0
M,KW,KuwaIT,lowerlevel,G-05,A,English,F,Father,7,0
F,KW,KuwaIT,HighSchool,G-12,A,English,F,Mum,70,1
F,KW,KuwaIT,HighSchool,G-12,A,English,F,Mum,13,1
F,KW,KuwaIT,HighSchool,G-12,A,English,F,Father,29,1
F,KW,KuwaIT,HighSchool,G-12,A,English,F,Father,20,1
